ProjectDuration,ProjectNumber
3012,1
3012,2
187,3
1087,4
1579,5
1044,6
1514,7
1124,8
1268,9
756,10
651,11
382,12
698,13
993,14
738,15
497,16
1562,17
1288,18
1096,19
732,20
1338,21
690,22
364,23
673,24
669,25
1531,26
1010,27
1408,28
784,29
1121,30
966,31
633,32
970,33
690,34
784,35
594,36
476,37
837,38
1526,39
1134,40
993,41
641,42
756,43
449,44
680,45
1157,46
793,47
1101,48
777,49
1155,50
896,51
1269,52
798,53
830,54
994,55
717,56
405,57
508,58
925,59
632,60
839,61
700,62
507,63
832,64
889,65
1114,66
622,67
1598,68
822,69
549,70
848,71
438,72
189,73
1153,74
639,75
912,76
1258,77
750,78
896,79
1120,80
978,81
932,82
1608,83
449,84
693,85
620,86
788,87
849,88
315,89
794,90
762,91
622,92
618,93
820,94
553,95
508,96
621,97
993,98
632,99
451,100
683,101
669,102
496,103
508,104
513,105
878,106
426,107
1762,108
683,109
596,110
662,111
